Name,Address,FoodType,Rating,Budget,Diet Pref,Latitude,Longitude
Udon Mugizo,"180 Castro St, Mountain View, CA 94041",Vegetarian,3,$$,Asian,37.39437,-122.07892
Gochi,"1943 W El Camino Real, Mountain View, CA 94041",Vegan,2,$$$,Greek,37.39356,-122.0981
Eureka ,"191 Castro St, Mountain View, CA 94041",Neither,3,$$$$,Italian ,37.39312,-122.07864
Changan Artisan,"580 N Rengstorff Ave ste j, Mountain View, CA 94043",Neither,4,$$$,Burgers,37.41082,-122.09365
Mifen,"841 Villa St, Mountain View, CA 94041",Neither,5,$,Asian,37.39399,-122.07948
Vaso Azzurro Ristorante,"108 Castro St, Mountain View, CA 94041",Vegan,3,$$,Burgers,37.39496,-122.07844
Bajis Caf,"2423 Old Middlefield Way, Mountain View, CA 94043",Vegetarian,4,$$,Greek,37.41522,-122.09797
Bentro Express,"1677 Hollenbeck Ave, Sunnyvale, CA 94087",Vegan,5,$$$,Italian ,37.33889,-122.04259
Mama Chen's Kitchen,"19052 Stevens Creek Blvd, Cupertino, CA 95014",Neither,5,$$$,Asian,37.32268,-122.00567
Caspian ,"1910 W El Camino Real D, Mountain View, CA 94040",Vegetarian,2,$$,Greek,37.39475,-122.09675
Fas Bierhauz,"135 Castro St, Mountain View, CA 94041",Neither,4,$$$,Burgers,37.39526,-122.07825
Ludwigs Biergarten,"383 Castro St, Mountain View, CA 94041",Vegan,5,$$,Italian ,37.39205,-122.08047
Vive Sol,"2020 W El Camino Real, Mountain View, CA 94040",Neither,4,$,Mexican,37.39628,-122.09914
3 Kingdoms Hot Pot,"134B Castro St, Mountain View, CA 94041",Neither,2,$$$,Asian,37.39542,-122.07845
The Emerald Hour,"1625 N Shoreline Blvd, Mountain View, CA 94043",Neither,5,$$$$$,Burgers,37.41757,-122.07762
La Fontaine,"186 Castro St, Mountain View, CA 94041",Neither,5,$$$$$,Italian ,37.39518,-122.078
La Fiesta,"240 Villa St, Mountain View, CA 94041",Vegetarian,4,$$$$,Mexican,37.39248,-122.07285
Grandma's Kitchen,"19541 Richwood Dr, Cupertino, CA 95014",Neither,3,$$$,Asian,37.32309,-122.01471
The City Fish,"21678 Stevens Creek Blvd, Cupertino, CA 95014",Vegan,3,$$$$,Burgers,37.32329,-122.05355
Sweet Sicily,"100 S Murphy Ave, Sunnyvale, CA 94089",Neither,5,$$$,Italian ,37.37808,-122.02933
DishDash,"190 S Murphy Ave, Sunnyvale, CA 94086",Neither,2,$$$$,Greek,37.37665,-122.03009
The Oxford Kitchen,"195 S Murphy Ave, Sunnyvale, CA 94086",Neither,4,$$$,Burgers,37.3769,-122.03072
