,rank,year,movie,wwbox_office,dombox_office,internationalbox_office,url,genre,production_companies,inflation_rank,infl_gross_box_office,actors,directors,main,number_of_stars,director_main,number_of_directors,production_companies_main,number_of_production_companies
0,1,2009,Avatar,2845899541.0,760507625.0,2085391916.0,/movie/Avatar,Action,"['Dune-Entertainment', '20th-Century-Fox', 'Ingenious-Film-Partners']",5,904178608.0,"['Sam Worthington', 'Zoe Saldana']",['James Cameron'],Sam Worthington,2,James Cameron,1,Dune-Entertainment,3
1,2,2019,Avengers: Endgame,2797800564.0,858373000.0,1939427564.0,/movie/Avengers-Endgame-(2019),Action,['Marvel-Studios'],7,858373002.0,"['Robert Downey, Jr.', 'Chris Evans', 'Mark Ruffalo']","['Joe Russo', 'Anthony Russo']","Robert Downey, Jr.",3,Joe Russo,2,Marvel-Studios,1
2,3,1997,Titanic,2207986545.0,659363944.0,1548622601.0,/movie/Titanic-(1997),Drama,"['20th-Century-Fox', 'Paramount-Pictures', 'Lightstorm-Entertainment']",2,1247410568.0,"['Leonardo DiCaprio', 'Kate Winslet']",['James Cameron'],Leonardo DiCaprio,2,James Cameron,1,20th-Century-Fox,3
3,4,2015,Star Wars Ep. VII: The Force Awakens,2064615817.0,936662225.0,1127953592.0,/movie/Star-Wars-Ep-VII-The-Force-Awakens,Adventure,"['Lucasfilm', 'Bad-Robot']",4,1012399043.0,"['Adam Driver', 'Daisy Ridley', 'John Boyega']",['J.J. Abrams'],Adam Driver,3,J.J. Abrams,1,Lucasfilm,2
4,5,2018,Avengers: Infinity War,2044540523.0,678815482.0,1365725041.0,/movie/Avengers-Infinity-War,Action,['Marvel-Studios'],18,682541141.0,"['Robert Downey, Jr.', 'Chris Hemsworth', 'Mark Ruffalo']","['Joe Russo', 'Anthony Russo']","Robert Downey, Jr.",3,Joe Russo,2,Marvel-Studios,1
5,6,2015,Jurassic World,1669979967.0,652306625.0,1017673342.0,/movie/Jurassic-World,Action,"['Universal-Pictures', 'Amblin-Entertainment', 'Legendary-Pictures']",15,708790321.0,['Chris Pratt'],['Colin Trevorrow'],Chris Pratt,1,Colin Trevorrow,1,Universal-Pictures,3
6,7,2019,The Lion King,1654371405.0,543638043.0,1110733362.0,/movie/Lion-King-The-(Live-Action)-(2019),Adventure,"['Walt-Disney-Pictures', 'Fairview-Entertainment']",38,543638043.0,"['Donald Glover', 'BeyoncÃ© Knowles', 'James Earl Jones']",['Jon Favreau'],Donald Glover,3,Jon Favreau,1,Walt-Disney-Pictures,2
7,8,2015,Furious 7,1516881526.0,353007020.0,1163874506.0,/movie/Furious-7,Action,"['Original-Film', 'One-Race-Films', 'Universal-Pictures', 'MRC', 'China-Film-Company', 'Dentsu-Inc']",124,383575834.0,"['Vin Diesel', 'Paul Walker']",['James Wan'],Vin Diesel,2,James Wan,1,Original-Film,6
8,9,2012,The Avengers,1515100211.0,623357910.0,891742301.0,/movie/Avengers-The-(2012),Action,"['Marvel-Studios', 'Paramount-Pictures']",14,717331462.0,"['Tom Hiddleston', 'Robert Downey, Jr.', 'Chris Evans']",['Joss Whedon'],Tom Hiddleston,3,Joss Whedon,1,Marvel-Studios,2
9,10,2019,Frozen II,1446925396.0,477373578.0,969551818.0,/movie/Frozen-II-(2019),Adventure,['Walt-Disney-Animation-Studios'],62,477373578.0,"['Kristen Bell', 'Idina Menzel', 'Josh Gad']","['Jennifer Lee', 'Chris Buck']",Kristen Bell,3,Jennifer Lee,2,Walt-Disney-Animation-Studios,1
10,11,2015,Avengers: Age of Ultron,1395316979.0,459005868.0,936311111.0,/movie/Avengers-Age-of-Ultron,Action,['Marvel-Studios'],54,498753701.0,"['James Spader', 'Robert Downey, Jr.', 'Chris Hemsworth']",['Joss Whedon'],James Spader,3,Joss Whedon,1,Marvel-Studios,1
11,12,2018,Black Panther,1336494321.0,700059566.0,636434755.0,/movie/Black-Panther,Action,['Marvel-Studios'],16,703901821.0,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o""]",['Ryan Coogler'],Chadwick Boseman,3,Ryan Coogler,1,Marvel-Studios,1
12,13,2011,Harry Potter and the Deathly Hallows:…,1334392544.0,381193157.0,953199387.0,/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II,Adventure,"['Warner-Bros', 'Heyday-Films']",74,440108798.0,"['Ralph Fiennes', 'Daniel Radcliffe', 'Rupert Grint']",['David Yates'],Ralph Fiennes,3,David Yates,1,Warner-Bros,2
13,14,2017,Star Wars Ep. VIII: The Last Jedi,1331635141.0,620181382.0,711453759.0,/movie/Star-Wars-Ep-VIII-The-Last-Jedi,Adventure,"['Lucasfilm', 'Walt-Disney-Pictures']",24,631702051.0,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver']",['Rian Johnson'],Mark Hamill,3,Rian Johnson,1,Lucasfilm,2
14,15,2018,Jurassic World: Fallen Kingdom,1308334005.0,417719760.0,890614245.0,/movie/Jurassic-World-Fallen-Kingdom-(2018),Action,"['Universal-Pictures', 'Amblin-Entertainment', 'Kennedy-Marshall-Company-The', 'Legendary-Pictures', 'Perfect-World-Pictures']",86,420012408.0,"['Chris Pratt', 'Bryce Dallas Howard']",['J.A. Bayona<sup>*</sup>'],Chris Pratt,2,J.A. Bayona<sup>*</sup>,1,Universal-Pictures,5
15,16,2013,Frozen,1266648320.0,400953009.0,865695311.0,/movie/Frozen-(2013),Musical,['Walt-Disney-Animation-Studios'],70,451149053.0,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']","['Chris Buck', 'Jennifer Lee']",Kristen Bell,3,Chris Buck,2,Walt-Disney-Animation-Studios,1
16,17,2017,Beauty and the Beast,1255080655.0,504014165.0,751066490.0,/movie/Beauty-and-the-Beast-(2017),Musical,"['Walt-Disney-Pictures', 'Mandeville-Films']",48,514690049.0,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon'],Emma Watson,3,Bill Condon,1,Walt-Disney-Pictures,2
17,18,2018,Incredibles 2,1242805359.0,608581744.0,634223615.0,/movie/Incredibles-2,Adventure,['Pixar'],28,611921929.0,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']",['Brad Bird'],Craig T. Nelson,3,Brad Bird,1,Pixar,1
18,19,2017,The Fate of the Furious,1236703796.0,225764765.0,1010939031.0,/movie/Fate-of-the-Furious-The,Action,"['Universal-Pictures', 'Original-Film', 'One-Race-Films']",371,230546849.0,"['Vin Diesel', 'Dwayne Johnson', 'Jason Statham']",['F. Gary Gray'],Vin Diesel,3,F. Gary Gray,1,Universal-Pictures,3
19,20,2013,Iron Man 3,1215392272.0,408992272.0,806400000.0,/movie/Iron-Man-3,Action,"['Marvel-Studios', 'Paramount-Pictures', 'DMG-Entertainment']",66,460808016.0,"['Robert Downey, Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",['Shane Black'],"Robert Downey, Jr.",3,Shane Black,1,Marvel-Studios,3
20,21,2015,Minions,1159631140.0,336045770.0,823585370.0,/movie/Minions,Adventure,"['Universal-Pictures', 'Illumination-Entertainment']",138,365145822.0,"['Steve Carell', 'Sandra Bullock', 'Jon Hamm']","['Pierre Coffin', 'Kyle Balda']",Steve Carell,3,Pierre Coffin,2,Universal-Pictures,2
21,22,2016,Captain America: Civil War,1151918521.0,408084349.0,743834172.0,/movie/Captain-America-Civil-War,Action,['Marvel-Studios'],79,432144810.0,"['Chris Evans', 'Robert Downey, Jr.', 'Scarlett Johansson']","['Anthony Russo', 'Joe Russo']",Chris Evans,3,Anthony Russo,2,Marvel-Studios,1
22,23,2018,Aquaman,1143758700.0,335061807.0,808696893.0,/movie/Aquaman-(2018),Action,"['Warner-Bros', 'DC-Films', 'RatPac-Entertainment', 'Safran-Company-The', 'Cruel-and-Unusual-Films', 'Mad-Ghost-Productions']",175,336154340.0,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe']",['James Wan'],Jason Momoa,3,James Wan,1,Warner-Bros,6
23,24,2019,Spider-Man: Far From Home,1131113066.0,390532085.0,740580981.0,/movie/Spider-Man-Far-From-Home-(2019),Action,"['Columbia-Pictures', 'Marvel-Studios', 'Pascal-Pictures']",108,390532085.0,"['Tom Holland', 'Samuel L. Jackson', 'Zendaya']",['Jon Watts'],Tom Holland,3,Jon Watts,1,Columbia-Pictures,3
24,25,2019,Captain Marvel,1129727388.0,426829839.0,702897549.0,/movie/Captain-Marvel-(2019),Action,['Marvel-Studios'],82,426829839.0,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn']","['Anna Boden', 'Ryan Fleck']",Brie Larson,3,Anna Boden,2,Marvel-Studios,1
25,26,2011,Transformers: Dark of the Moon,1123794079.0,352390543.0,771403536.0,/movie/Transformers-Dark-of-the-Moon-(2011),Action,"['Paramount-Pictures', 'di-Bonaventura-Pictures', 'Hasbro-Studios']",94,407048847.0,['Shia LaBeouf'],['Michael Bay'],Shia LaBeouf,1,Michael Bay,1,Paramount-Pictures,3
26,27,2003,The Lord of the Rings: The Return of …,1120214046.0,377845905.0,742368141.0,/movie/Lord-of-the-Rings-The-Return-of-the-King-The,Adventure,"['Wingnut-Films', 'New-Line-Cinema']",32,569863752.0,"['Ian McKellen', 'Viggo Mortensen', 'Olando Bloom<sup>*</sup>']",['Peter Jackson'],Ian McKellen,3,Peter Jackson,1,Wingnut-Films,2
27,28,2012,Skyfall,1110526981.0,304360277.0,806166704.0,/movie/Skyfall,Action,"['Eon-Productions', 'B23', 'Metro-Goldwyn-Mayer-Pictures', 'Columbia-Pictures']",154,350061913.0,"['Daniel Craig', 'Javier Bardem']",['Sam Mendes'],Daniel Craig,2,Sam Mendes,1,Eon-Productions,4
28,29,2014,Transformers: Age of Extinction,1104054072.0,245439076.0,858614996.0,/movie/Transformers-Age-of-Extinction,Action,"['di-Bonaventura-Pictures', 'Tom-DeSanto', 'Don-Murphy']",267,275180158.0,"['Mark Wahlberg', 'Nicola Peltz', 'Jack Reynor']",['Michael Bay'],Mark Wahlberg,3,Michael Bay,1,di-Bonaventura-Pictures,3
29,30,2012,The Dark Knight Rises,1082228107.0,448139099.0,634089008.0,/movie/Dark-Knight-Rises-The,Action,"['Warner-Bros', 'Legendary-Pictures', 'Syncopy']",45,515697750.0,['Christian Bale'],['Christopher Nolan'],Christian Bale,1,Christopher Nolan,1,Warner-Bros,3
30,31,2019,Toy Story 4,1073080329.0,434038008.0,639042321.0,/movie/Toy-Story-4-(2019),Adventure,['Pixar'],77,434038008.0,"['Tom Hanks', 'Tim Allen', 'Annie Potts']",['Josh Cooley'],Tom Hanks,3,Josh Cooley,1,Pixar,1
31,32,2019,Star Wars: The Rise of Skywalker,1072848487.0,515202542.0,557645945.0,/movie/Star-Wars-The-Rise-of-Skywalker-(2019),Adventure,"['Lucasfilm', 'Bad-Robot', 'Walt-Disney-Pictures']",46,515202542.0,"['Mark Hamill', 'Adam Driver', 'Daisy Ridley']",['J.J. Abrams'],Mark Hamill,3,J.J. Abrams,1,Lucasfilm,3
32,33,2019,Joker,1072507517.0,335451311.0,737056206.0,/movie/Joker-(2019),Thriller-or-Suspense,"['Village-Roadshow-Productions', 'Warner-Bros', 'Bron-Creative', 'Joint-Effort']",177,335451311.0,['Joaquin Phoenix'],['Todd Phillips'],Joaquin Phoenix,1,Todd Phillips,1,Village-Roadshow-Productions,4
